"lat","lon"
"31.7022","119.9274"
"31.3345","121.5034"
"31.2895","121.5003"
"31.7","119.9126"
"31.2001","121.314"
"31.6997","119.9158"
"30.2528","120.1359"
"30.2528","120.1358"
"30.2539","120.1329"
"30.2539","120.1329"
"31.3337","121.5049"
"31.6992","119.9175"
"18.2907","109.422"
"18.2907","109.4222"
"18.2906","109.4274"
"18.2905","109.4264"
"18.2905","109.4203"
"31.2585","121.5753"
"18.2905","109.4206"
"18.2913","109.4268"
"18.2915","109.4269"
"18.2673","109.491"
"18.2673","109.491"
"18.2668","109.4912"
"18.2659","109.4948"
"18.2659","109.4951"
"18.2666","109.4916"
"18.2665","109.4919"
"18.2659","109.4951"
"18.2659","109.4951"
"18.2659","109.4951"
"31.2589","121.574"
"18.2512","109.6248"
"18.2512","109.6247"
"18.2567","109.6283"
"18.2576","109.6323"
"18.2546","109.638"
"18.2546","109.6382"
"18.2546","109.6382"
"18.2932","109.4243"
"31.3025","121.5074"
"18.2394","109.5043"
"18.2396","109.5044"
"18.2456","109.5051"
"18.2456","109.5052"
"18.2456","109.5054"
"18.2456","109.5053"
"18.2459","109.5059"
"18.2459","109.5058"
"31.3192","121.5059"
"18.292","109.4235"
"31.3289","121.506"
"18.2927","109.4248"
"18.2927","109.4246"
"31.2027","121.4783"
"18.2927","109.4249"
"18.2927","109.4249"
"31.2049","121.4859"
"18.2918","109.4215"
"18.2929","109.4247"
"52.0852","5.1745"
"18.2929","109.4247"
"18.29","109.4195"
"18.2839","109.4956"
"18.2839","109.4957"
"18.2839","109.4957"
"18.2914","109.4296"
"52.0915","5.1199"
"18.6274","108.7042"
"18.6348","108.7076"
"18.6348","108.7076"
"18.6348","108.7076"
"18.6348","108.7076"
"18.6582","108.7049"
"18.6198","108.7079"
"18.6198","108.7079"
"18.6209","108.7083"
"18.6233","108.7048"
"52.0915","5.1196"
"18.6233","108.7049"
"18.6237","108.7042"
"18.6243","108.704"
"18.6244","108.704"
"18.6244","108.704"
"18.6244","108.704"
"18.6246","108.704"
"18.6249","108.7041"
"18.6248","108.704"
"18.6248","108.704"
"52.0923","5.1167"
"18.6247","108.704"
"18.6247","108.704"
"18.6247","108.704"
"18.632","108.7065"
"18.632","108.7087"
"18.632","108.7087"
"18.7111","108.8767"
"18.7112","108.8766"
"52.0923","5.1167"
"18.2892","109.424"
"18.2892","109.424"
"18.2892","109.424"
"18.2894","109.4241"
"18.2894","109.4241"
"18.2894","109.4241"
"18.293","109.4236"
"18.2527","109.4962"
"18.2527","109.4962"
"52.093","5.1152"
"18.2522","109.4962"
"18.2534","109.4963"
"18.3093","109.4212"
"18.3093","109.4212"
"51.9266","4.4343"
"31.2888","121.5005"
"31.2882","121.5007"
"31.7554","118.614"
"51.9245","4.4331"
"31.7554","118.614"
"31.7553","118.6138"
"31.7238","118.6261"
"31.7238","118.6261"
"31.7239","118.626"
"31.7237","118.626"
"31.7157","118.6339"
"31.3337","121.5049"
"31.3337","121.5049"
"31.3337","121.5049"
"51.9094","4.4784"
"31.2873","121.5009"
"31.3337","121.5051"
"31.3318","121.505"
"31.3002","121.5148"
"31.3001","121.5151"
"31.3001","121.5151"
"31.2886","121.4994"
"31.2886","121.4994"
"31.2886","121.4994"
"31.2896","121.5003"
"31.2896","121.5003"
"31.2896","121.5003"
"31.2896","121.5003"
"31.2896","121.5003"
"31.2896","121.5003"
"31.2896","121.5003"
"31.2896","121.5003"
"31.2896","121.5003"
"31.2896","121.5003"
"31.2896","121.5003"
"31.2896","121.5003"
"31.2896","121.5003"
"31.2896","121.5003"
"31.2896","121.5003"
"31.2896","121.5003"
"31.2896","121.5003"
"31.2896","121.5003"
"31.2896","121.5003"
"31.2896","121.5003"
"31.2896","121.5003"
"31.2896","121.5003"
"31.2896","121.5003"
"31.2896","121.5003"
"31.2896","121.5003"
"31.2896","121.5003"
"31.2896","121.5003"
"52.0928","5.1129"
"31.2896","121.5003"
"31.2878","121.5004"
"31.2886","121.5003"
"31.2895","121.5003"
"31.2896","121.5003"
"31.2896","121.5003"
"31.2896","121.5003"
"31.2896","121.5003"
"31.2888","121.4973"
"31.2895","121.5003"
"52.0904","5.1222"
"31.2892","121.4972"
"31.3074","121.509"
"31.3074","121.509"
"31.3337","121.505"
"31.3337","121.505"
"52.0907","5.1225"
"52.0907","5.1224"
"31.2886","121.4994"
"31.2886","121.4994"
"31.2857","121.4982"
"31.2886","121.4994"
"52.0906","5.1227"
"31.203","121.478"
"31.3012","121.5062"
"31.3012","121.5062"
"52.0851","5.1734"
"31.3012","121.5062"
"31.3012","121.5062"
"31.3012","121.5062"
"31.3337","121.505"
"31.3337","121.505"
"31.3337","121.505"
"55.6773","12.5735"
"31.3337","121.505"
"31.3337","121.5051"
"31.3337","121.505"
"31.3337","121.505"
"31.3337","121.505"
"31.3337","121.505"
"31.222","121.4465"
"31.222","121.4465"
"55.6773","12.5732"
"31.2219","121.4465"
"31.222","121.4465"
"31.222","121.4465"
"31.222","121.4465"
"31.2218","121.4463"
"31.2212","121.4458"
"31.2209","121.4456"
"31.2207","121.4454"
"31.2194","121.4445"
"56.0388","12.6216"
"31.2185","121.4437"
"31.2185","121.4437"
"31.2196","121.4447"
"31.2196","121.4447"
"31.2194","121.4445"
"31.2194","121.4445"
"31.2194","121.4445"
"31.2186","121.4438"
"31.2186","121.4437"
"56.039","12.6145"
"31.3175","121.5152"
"31.2902","121.5039"
"55.6809","12.5865"
"31.2803","121.5"
"31.3339","121.5051"
"31.3339","121.5051"
"31.2864","121.5009"
"31.2904","121.4975"
"31.2993","121.5086"
"31.2993","121.5086"
"31.2993","121.5086"
"31.2169","121.4521"
"31.2175","121.4516"
"31.2177","121.4521"
"31.2182","121.4525"
"31.0984","121.2135"
"31.2182","121.4525"
"31.2183","121.4523"
"31.2183","121.4523"
"31.2183","121.4523"
"31.2183","121.4523"
"31.2183","121.4523"
"31.2183","121.4523"
"31.2183","121.4523"
"31.2183","121.4523"
"31.2183","121.4523"
"31.0973","121.2102"
"31.2183","121.4523"
"31.2183","121.4523"
"31.2183","121.4523"
"31.2183","121.4523"
"31.2183","121.4523"
"31.2183","121.4523"
"31.2183","121.4523"
"31.0944","121.2104"
"31.3336","121.505"
"31.3336","121.505"
"31.2997","121.5151"
"31.3089","121.5151"
"31.098","121.2095"
"31.3112","121.5131"
"31.3112","121.5131"
"30.7484","120.7437"
"30.7484","120.7437"
"30.7088","120.8454"
"30.7105","120.8461"
"30.7105","120.8461"
"30.7105","120.8461"
"30.7105","120.8461"
"31.0979","121.2096"
"30.7105","120.8461"
"30.7109","120.8472"
"30.7105","120.8461"
"30.7105","120.8461"
"30.7086","120.8471"
"30.7084","120.847"
"30.7085","120.8472"
"30.71","120.8463"
"30.7085","120.847"
"31.3322","121.5059"
"31.0979","121.2097"
"31.2188","121.6192"
"31.1931","121.4414"
"31.1931","121.4416"
"31.2904","121.4162"
"31.2904","121.4162"
"31.2904","121.4162"
"31.2904","121.4162"
"31.0976","121.2084"
"31.2904","121.4162"
"31.2032","121.484"
"31.3337","121.505"
"31.3337","121.505"
"31.1005","121.2092"
"31.3337","121.5049"
"31.3337","121.5049"
"31.3336","121.5048"
"31.3336","121.5048"
"39.9328","116.4442"
"31.293","121.516"
"31.2003","121.4792"
"39.9321","116.4472"
"30.7407","120.7523"
"31.2185","121.4613"
"31.2185","121.4613"
"31.2184","121.4613"
"31.2184","121.4613"
"39.9336","116.4481"
"39.9367","116.4483"
"31.2248","121.4549"
"31.3317","121.5033"
"31.3286","121.504"
"31.3274","121.5042"
"31.2183","121.5601"
"31.2183","121.5601"
"39.9348","116.4484"
"31.2183","121.5601"
"31.2183","121.5601"
"31.2183","121.5601"
"31.2183","121.5601"
"31.2183","121.56"
"31.2183","121.56"
"31.2183","121.5601"
"31.2183","121.5601"
"31.2183","121.5601"
"31.1967","121.325"
"31.2901","121.4972"
"31.2896","121.5013"
"31.2814","121.5047"
"31.2903","121.5094"
"31.3395","121.5095"
"31.2238","121.4505"
"24.4153","111.5644"
"24.9087","102.4631"
"24.9359","102.4877"
"24.9178","102.4617"
"24.9179","102.4618"
"24.9179","102.4618"
"31.2907","121.5059"
"25.0448","102.7076"
"25.0447","102.7077"
"25.0446","102.7077"
"25.0444","102.7077"
"25.0441","102.7068"
"25.044","102.7077"
"25.0439","102.7077"
"25.0439","102.7077"
"25.0439","102.7077"
"25.0438","102.7077"
"25.0438","102.7077"
"25.0438","102.7077"
"25.0102","102.6854"
"25.008","102.6865"
"25.008","102.6865"
"25.008","102.6865"
"25.008","102.6865"
"25.0351","102.7223"
"25.0335","102.7193"
"25.0336","102.7195"
"25.0336","102.7195"
"25.0332","102.719"
"25.0332","102.719"
"25.0332","102.719"
"22.826","108.3598"
"22.8267","108.3605"
"31.0396","121.1967"
"31.2027","121.4783"
"31.3012","121.5125"
"31.3012","121.5125"
"31.2093","121.5601"
"31.3337","121.505"
"31.3337","121.505"
"31.3337","121.505"
"31.3337","121.505"
"31.3337","121.505"
"31.3335","121.5049"
"24.9191","102.4648"
"31.3009","121.513"
